Label,Name,ID,Namespace,Abs­tract,Substi­tu­tion Group,Type,Per­iod Type,Bal­ance,Nillable,Typed Domain Ref,Facets,Doc­u­men­ta­tion
esrs:Category2Member,Category2Member,esrs_Category2Member,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category3FuelAndEnergyrelatedActivitiesMember,Category3FuelAndEnergyrelatedActivitiesMember,esrs_Category3FuelAndEnergyrelatedActivitiesMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category3IndirectGHGEmissionsFromTransportationMember,Category3IndirectGHGEmissionsFromTransportationMember,esrs_Category3IndirectGHGEmissionsFromTransportationMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category3Member,Category3Member,esrs_Category3Member,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category41IndirectGHGEmissionsFromGoodsPurchasedByOrganizationMember,Category41IndirectGHGEmissionsFromGoodsPurchasedByOrganizationMember,esrs_Category41IndirectGHGEmissionsFromGoodsPurchasedByOrganizationMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category42IndirectGHGEmissionsFromServicesUsedByOrganizationMember,Category42IndirectGHGEmissionsFromServicesUsedByOrganizationMember,esrs_Category42IndirectGHGEmissionsFromServicesUsedByOrganizationMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category4IndirectGHGEmissionsFromProductsUsedByOrganizationMember,Category4IndirectGHGEmissionsFromProductsUsedByOrganizationMember,esrs_Category4IndirectGHGEmissionsFromProductsUsedByOrganizationMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category4Member,Category4Member,esrs_Category4Member,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category4UpstreamTransportationAndDistributionMember,Category4UpstreamTransportationAndDistributionMember,esrs_Category4UpstreamTransportationAndDistributionMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category5IndirectGHGEmissionsAssociatedWithUseOfProductsFromOrganizationMember,Category5IndirectGHGEmissionsAssociatedWithUseOfProductsFromOrganizationMember,esrs_Category5IndirectGHGEmissionsAssociatedWithUseOfProductsFromOrganizationMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category5WasteGeneratedInOperationsMember,Category5WasteGeneratedInOperationsMember,esrs_Category5WasteGeneratedInOperationsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category6BusinessTravelMember,Category6BusinessTravelMember,esrs_Category6BusinessTravelMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category6IndirectGHGEmissionsFromOtherSourcesMember,Category6IndirectGHGEmissionsFromOtherSourcesMember,esrs_Category6IndirectGHGEmissionsFromOtherSourcesMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category7EmployeeCommutingMember,Category7EmployeeCommutingMember,esrs_Category7EmployeeCommutingMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category8UpstreamLeasedAssetsMember,Category8UpstreamLeasedAssetsMember,esrs_Category8UpstreamLeasedAssetsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category9DownstreamTransportationAndDistributionMember,Category9DownstreamTransportationAndDistributionMember,esrs_Category9DownstreamTransportationAndDistributionMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract,ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,xbrli:stringItemType,duration,,true,,,
esrs:ChannelsToRaiseConcernsOrNeedsAllowValueChainWorkersAffectedCommunitiesConsumersAndEndusersToUseThemAnonymously,ChannelsToRaiseConcernsOrNeedsAllowValueChainWorkersAffectedCommunitiesConsumersAndEndusersToUseThemAnonymously,esrs_ChannelsToRaiseConcernsOrNeedsAllowValueChainWorkersAffectedCommunitiesConsumersAndEndusersToUseThemAnonymously,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,xbrli:booleanItemType,duration,,true,,,
esrs:CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceAbstract,CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceAbstract,esrs_CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceAbstract,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,xbrli:stringItemType,duration,,true,,,
esrs:CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceGeneralAbstract,CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceGeneralAbstract,esrs_CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceGeneralAbstract,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,xbrli:stringItemType,duration,,true,,,
esrs:CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceLineItems,CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceLineItems,esrs_CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceLineItems,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,xbrli:stringItemType,duration,,true,,,
esrs:CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceTable,CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceTable,esrs_CharacteristicsOfNonemployeesInUndertakingsOwnWorkforceTable,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,,
