Resource Relationships,,,Arcrole,Resource,ResourceRole,Language,Name,Namespace,LocalName,References
,esrs:DescriptionOfTypesOfEmployeesAndNonemployeesInOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersSubjectToMaterialImpactsExplanatory,,,esrs:DescriptionOfTypesOfEmployeesAndNonemployeesInOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersSubjectToMaterialImpactsExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfTypesOfEmployeesAndNonemployeesInOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersSubjectToMaterialImpactsExplanatory," ESRS S2 11 a SBM-3 Main Mandatory subject to MA S2.SBM-3_02,  ESRS S3 9 a SBM-3 AR 7 Main Mandatory subject to MA S3.SBM-3_02,  ESRS S4 10 a SBM-3 Main Mandatory subject to MA S4.SBM-3_02,  ESRS S1 14 a SBM-3 Main Mandatory subject to MA S1.SBM-3_02"
,,ESRS S2 11 a SBM-3 Main Mandatory subject to MA S2.SBM-3_02,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 9 a SBM-3 AR 7 Main Mandatory subject to MA S3.SBM-3_02,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 10 a SBM-3 Main Mandatory subject to MA S4.SBM-3_02,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S1 14 a SBM-3 Main Mandatory subject to MA S1.SBM-3_02,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:UndertakingIsRelyingSolelyOnInformationProvidedByItsBusinessRelationshipsAboutExistenceOfChannelsToRaiseConcernsOrNeeds,,,esrs:UndertakingIsRelyingSolelyOnInformationProvidedByItsBusinessRelationshipsAboutExistenceOfChannelsToRaiseConcernsOrNeeds,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,UndertakingIsRelyingSolelyOnInformationProvidedByItsBusinessRelationshipsAboutExistenceOfChannelsToRaiseConcernsOrNeeds," ESRS S1 AR 28 S1-3 Main Mandatory subject to MA,  ESRS S2 AR 22 S2-3 Main Mandatory subject to MA,  ESRS S3 AR 18 S3-3 Main Mandatory subject to MA Conditional,  ESRS S4 AR 19 S4-3 Main Mandatory subject to MA"
,,ESRS S1 AR 28 S1-3 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S2 AR 22 S2-3 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 AR 18 S3-3 Main Mandatory subject to MA Conditional,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 AR 19 S4-3 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
